Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Adjusted Proceeds,Proceeds Diff
Trades,Data,Order,Stocks,USD,AMZN,2023-07-21 13:57:21,50.0,130.478,130.0,-6523.9,-1.078,6524.978,0.0,-23.9,O,-6523.9,0.0
Trades,Data,Order,Stocks,USD,AMZN,2023-09-19 13:30:46,20.0,136.71,137.63,-2734.2,-1.0792,2735.2792,0.0,18.4,O;P,-2734.2,0.0
Trades,Data,Order,Stocks,USD,AMZN,2024-01-09 12:08:06,40.0,151.01,151.37,-6040.4,-1.09,6041.49,0.0,14.4,O,-6040.4,0.0
Trades,Data,Order,Stocks,USD,AMZN,2024-04-29 10:04:22,60.0,179.977,180.96,-10798.62,-1.09,10799.71,0.0,58.98,O,-10798.62,0.0
Trades,Data,Order,Stocks,USD,GOOG,2023-07-31 13:11:02,50.0,132.66,133.11,-6633.0,-1.078,6634.078,0.0,22.5,O,-6633.0,0.0
Trades,Data,Order,Stocks,USD,GOOG,2023-10-30 12:43:40,50.0,125.4882,125.75,-6274.41,-1.078,6275.488,0.0,13.09,O,-6274.41,0.0
Trades,Data,Order,Stocks,USD,GOOG,2024-01-09 12:06:49,50.0,142.445,142.56,-7122.25,-1.09,7123.34,0.0,5.75,O,-7122.25,0.0
Trades,Data,Order,Stocks,USD,GOOG,2024-01-31 11:43:12,30.0,143.738,141.8,-4312.14,-1.09,4313.23,0.0,-58.14,O,-4312.14,0.0
Trades,Data,Order,Stocks,USD,GOOG,2024-02-08 13:50:57,50.0,146.8,147.22,-7340.0,-1.09,7341.09,0.0,21.0,O,-7340.0,0.0
Trades,Data,Order,Stocks,USD,GOOG,2024-07-31 11:40:22,70.0,172.85,173.15,-12099.5,-1.09,12100.59,0.0,21.0,O;P,-12099.5,0.0
Trades,Data,Order,Stocks,USD,GOOG,2025-05-12 13:11:08,50.0,160.0,159.58,-8000.0,-1.0919075,8001.091908,0.0,-21.0,O,-8000.0,0.0
Trades,Data,Order,Stocks,USD,GPRO,2023-08-24 09:39:55,,3.9,3.81,-9750.0,-13.4,9763.4,0.0,-225.0,O;P,,
Trades,Data,Order,Stocks,USD,GPRO,2024-05-01 09:46:13,,1.8,1.86,4500.0,-14.11659,-9763.4,-5277.51659,-150.0,C,,
Trades,Data,Order,Stocks,USD,MSFT,2023-07-20 12:54:31,30.0,348.24,346.87,-10447.2,-1.0788,10448.2788,0.0,-41.1,O,-10447.2,0.0
Trades,Data,Order,Stocks,USD,MSFT,2024-01-09 12:08:59,20.0,375.615,375.79,-7512.3,-1.09,7513.39,0.0,3.5,O,-7512.3,0.0
Trades,Data,Order,Stocks,USD,MSFT,2024-04-22 12:23:11,10.0,399.0,400.96,-3990.0,-1.09,3991.09,0.0,19.6,O,-3990.0,0.0
Trades,Data,Order,Stocks,USD,NET,2023-06-01 13:30:35,100.0,70.8,69.65,-7080.0,-1.076,7081.076,0.0,-115.0,O,-7080.0,0.0
Trades,Data,Order,Stocks,USD,NET,2024-10-14 09:30:02,-50.0,95.0,93.75,4750.0,-1.2455975,-3540.538,1208.216402,62.5,C,4750.0,0.0
Trades,Data,Order,Stocks,USD,NVDA,2023-06-07 14:34:56,400.0,38.0,374.75,15200.0,-1.0784,15201.0784,0.0,-210.0,O,15200.0,0.0
Trades,Data,Order,Stocks,USD,NVDA,2023-08-04 14:32:12,200.0,44.9,446.8,8980.0,-1.0792,8981.0792,0.0,-44.0,O,8980.0,0.0
Trades,Data,Order,Stocks,USD,NVDA,2023-08-24 09:30:00,-200.0,50.2,471.63,-10040.0,-1.16242,-7600.5392,2438.29838,607.4,C,-10040.0,0.0
Trades,Data,Order,Stocks,USD,NVDA,2023-08-24 09:30:00,-300.0,50.2,471.63,-15060.0,-1.20363,-12091.0788,2967.71757,911.1,C,-15060.0,0.0
Trades,Data,Order,Stocks,USD,NVDA,2023-08-28 09:53:46,300.0,45.171,468.35,13551.3,-1.0788,13552.3788,0.0,499.2,O,13551.3,0.0
Trades,Data,Order,Stocks,USD,NVDA,2023-09-07 13:28:14,200.0,45.6,462.41,9120.0,-1.0792,9121.0792,0.0,128.2,O,9120.0,0.0
